Time,AAPL,AMZN,BRK-B,GOOGL,JNJ,MSFT,NVDA,UNH,V,XOM
624,0.0,0.22936004,0.0,0.0,0.0,0.20230988,0.22936004,0.0,0.22936004,0.10961
625,0.17619108,0.0,0.0,0.0,0.2399463,0.0,0.41903186,0.0055421786,0.044224497,0.115064085
626,0.060740836,0.26123115,0.10404918,0.0,0.0,0.26123115,0.26123115,0.0,0.051516514,0.0
627,0.030734308,0.4711748,0.0,0.0,0.0,0.0,0.0,0.0,0.02691601,0.4711748
628,0.013182539,0.5398116,0.17150155,0.0,0.0,0.0,0.17092404,0.0,0.0,0.10458028
629,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
630,0.18756582,0.18756582,0.17853355,0.0,0.0,0.18756582,0.18756582,0.0,0.07120323,0.0
631,0.053458,0.008117196,0.09607549,0.0,0.17857148,0.20917845,0.081007995,0.1907937,0.17867263,0.0041250745
632,0.11007678,0.42829242,0.1842838,0.0,0.0,0.1592947,0.0955359,0.0,0.022516405,0.0
633,0.35836524,0.3151099,0.0,0.0,0.0,0.17649777,0.0,0.15002708,0.0,0.0
634,0.2139078,0.2139078,0.0,0.0,0.17181852,0.101873405,0.040810134,0.0,0.106001884,0.15168053
635,0.07684185,0.15620443,0.15620443,0.0,0.06961176,0.15620443,0.15620443,0.0,0.15620443,0.07252416
636,0.30202836,0.23422611,0.0,0.0,0.0,0.0,0.0,0.0,0.25958833,0.20415722
637,0.0,0.6840408,0.0,0.0,0.0,0.0,0.31595922,0.0,0.0,0.0
638,0.0,0.19249086,0.22136393,0.0,0.41990376,0.035304446,0.0,0.0,0.023569755,0.10736721
639,0.0,0.6472593,0.0,0.0,0.0,0.3527407,0.0,0.0,0.0,0.0
640,0.20650467,0.26874822,0.0,0.0,0.2600195,0.18357784,0.0,0.0,0.081149735,0.0
641,0.0,0.0,0.0,0.0,0.0,0.0,0.67371994,0.0,0.32628012,0.0
642,0.0,0.25081748,0.0,0.0,0.003312094,0.27087098,0.1744501,0.30054936,0.0,0.0
643,0.04004693,0.42861602,0.0,0.0,0.0,0.42861602,0.0,0.0,0.102721006,0.0
644,0.0,0.0,0.25417486,0.0,0.0,0.27703547,0.0,0.0,0.0,0.46878967
645,0.0,0.29209974,0.18118386,0.0,0.0,0.16715941,0.29209974,0.0,0.06745729,0.0
646,0.26040918,0.0,0.48780847,0.0,0.0,0.2517823,0.0,0.0,0.0,0.0
647,0.41548118,0.0,0.0,0.2114024,0.0,0.3098504,0.0,0.0,0.06326597,0.0
648,0.0,0.2572919,0.0,0.0,0.1143462,0.11377807,0.2572919,0.0,0.2572919,0.0
649,0.0,0.28920078,0.28920078,0.0,0.0,0.28920078,0.0,0.062739596,0.028827,0.04083105
650,0.005125889,0.089558564,0.0,0.0,0.095365666,0.1876919,0.46300316,0.0,0.133506,0.025748838
651,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
652,0.0,0.49921957,0.0,0.0,0.0,0.0,0.0,0.4241322,0.0,0.07664823
653,0.0,0.48179638,0.0,0.0,0.007945044,0.32048538,0.17954145,0.0,0.0,0.010231691
654,0.0,0.0,0.35622317,0.0,0.0,0.0,0.29747456,0.037523106,0.23203543,0.076743804
655,0.0,0.0,0.0,0.0,0.0,0.2961848,0.15979512,0.0,0.35445508,0.18956499
656,0.0,0.41267642,0.0,0.0,0.07000366,0.0,0.46738854,0.0,0.0499314,0.0
657,0.2716412,0.0,0.0,0.0,0.0,0.72835886,0.0,0.0,0.0,0.0
658,0.0,0.46926704,0.0,0.19087076,0.0,0.03435715,0.12443357,0.0,0.18107145,0.0
659,0.4051524,0.15470427,0.055056565,0.15280706,0.0,0.0,0.0,0.0,0.0,0.23227964
660,0.0,0.44598705,0.038080584,0.0,0.0,0.44598705,0.06994524,0.0,0.0,0.0
661,0.5745156,0.0,0.31504038,0.0,0.0,0.110444024,0.0,0.0,0.0,0.0
662,0.0,0.18746448,0.0,0.0,0.0,0.0,0.083977155,0.0,0.5452491,0.18330927
663,0.18120496,0.18120496,0.031029029,0.0,0.0,0.18120496,0.0,0.06294614,0.18120496,0.18120496
664,0.008933509,0.2583354,0.29636428,0.0,0.0,0.0,0.0,0.0,0.43636677,0.0
665,0.36632308,0.3656021,0.0,0.0,0.0,0.050326668,0.0,0.0,0.0,0.21774818
666,0.1532467,0.5184369,0.0,0.0,0.0,0.32831642,0.0,0.0,0.0,0.0
667,0.0,0.25225133,0.1544529,0.0,0.23133306,0.0,0.0,0.0,0.0,0.3619627
668,0.25568685,0.25568685,0.0,0.0,0.0,0.0,0.0,0.0,0.25568685,0.2329395
669,0.06399776,0.29236716,0.047739074,0.17160137,0.0,0.13192743,0.0,0.0,0.29236716,0.0
670,0.13889222,0.0,0.0,0.0,0.2790022,0.0,0.011762801,0.2790022,0.05255637,0.2387842
671,0.2784111,0.0,0.0,0.0,0.0,0.0,0.3912733,0.0,0.33031565,0.0
672,0.0,0.40942323,0.2265119,0.0,0.0,0.0,0.0,0.12311306,0.10624874,0.13470304
673,0.15579487,0.0,0.0,0.0,0.0,0.0,0.50986385,0.0,0.3343413,0.0
674,0.21546714,0.0,0.20289777,0.0,0.0,0.01600198,0.24333218,0.02750352,0.12791261,0.16688485
675,0.0,0.8434163,0.0,0.0,0.0,0.0,0.1565837,0.0,0.0,0.0
676,0.0,0.0,0.0,0.0,0.0,0.36149678,0.6385032,0.0,0.0,0.0
677,0.20876975,0.33336362,0.0,0.0,0.04341641,0.0,0.0,0.0,0.08108659,0.33336362
678,0.13055302,0.15233643,0.0,0.0,0.088801466,0.0,0.09217049,0.0,0.38607228,0.15006633
679,0.12350204,0.23963569,0.0,0.0,0.0,0.44196802,0.19489433,0.0,0.0,0.0
680,0.08858619,0.3342785,0.18451849,0.0,0.014710097,0.0,0.05121999,0.0,0.10097796,0.22570886
681,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
682,0.02601098,0.22170971,0.16105084,0.0,0.123679616,0.16689773,0.0,0.13779943,0.05273609,0.110115565
683,0.0,0.24453485,0.07033621,0.0,0.0,0.6851289,0.0,0.0,0.0,0.0
684,0.0,0.0,0.0,0.0,0.07161105,0.0,0.0,0.0,0.0,0.92838895
685,0.0,0.28577438,0.24081746,0.0,0.0,0.0,0.28577438,0.0,0.060356285,0.12727752
